,French text, Expected text,Predicted text
115163,si tu veux danser alors danse,if you want to dance then dance,if i like to i                                          
115164,si vous voulez danser dansez,if you want to dance then dance,if i want to can to                                         
115176,estce que tom est censé faire cela ,is tom supposed to be doing that,is tom something to do  that                                        
115189,estce quil est trop tard pour changer davis ,is it too late to change my mind,this too   good                                          
115209,y atil un endroit quelconque où tu veuilles te rendre ,is there anywhere you want to go,do there have a i to me                                        
115225,ce que je crois na pas dimportance,it doesnt matter what i believe,why i know                                            
115237,il mest impossible de le faire,it is impossible for me to do so,i must see go it                                          
115304,il a fait chaud ces derniers jours,its been warm the last few days,i arrived last day last morning                                         
115328,ce nest pas facile denfiler une aiguille,its not easy to thread a needle,it is no a                                           
115356,il est de votre devoir dachever ce boulot,its your duty to finish the job,it is duty a job                                          
115365,laissezmoi vous poser une question stupide,let me ask you a stupid question,may i like to some a little                                        
115402,faisons une halte à la prochaine aire de repos,lets stop at the next rest stop,lets take the suspect for day                                         
115411,la vie sans amour est dépourvue de sens,life without love is meaningless,this going needs to                                           
115412,on ne vend pas dalcool dans ce magasin,liquor is not sold at this store,this have waiting for the store                                         
115415,vivre avec un petit revenu est difficile,living on a small income is hard,i must a young for a                                         
115420,attention  voici un camion qui arrive ,look out theres a truck coming,a new is went i a                                         
115424,regarde  une étoile filante,look there goes a shooting star,i just a  towel                                          
115428,la malaria est transmise par les moustiques,malaria is carried by mosquitoes,the is  england                                           
115432,marie a demandé un prêt à sa famille,mary asked her family for a loan,i asked me to make a  friend                                       
115473,mouammar kadhafi sen est sorti indemne,muammar kaddafi escaped unharmed,i washington on very the                                          
115486,mon père nest pas à la maison pour le moment,my dad is not home at the moment,my father is to all the                                         
115494,mon papa est un peu démodé,my father is a bit oldfashioned,my wife is a                                           
115510,ma grandmère a la main verte,my grandmother has a green thumb,my cat is watching                                           
115516,mon travail est danticiper les problèmes,my job is to anticipate problems,my home is to                                           
115522,ma mère est morte au cours de mon absence,my mother died during my absence,my house is to at my                                         
115544,ma montre retarde de deux minutes par jour,my watch loses two minutes a day,the house gave me with                                          
115552,nhésitez jamais à dire la vérité,never hesitate to tell the truth,never  to  tell truth                                         
115558,la prochaine fois vous ne serez pas aussi chanceuses,next time you wont be so lucky,i will to if to were                                         
115604,un de vos voisins sest plaint,one of your neighbors complained,i have a language                                           
115618,notre réfrigérateur est en panne,our refrigerator is out of order,our violence is full a                                          
115621,les pourparlers de paix commenceront la semaine prochaine,peace talks will begin next week,the students run to  the week                                        
115623,les gens disent quil est encore en vie,people say that hes still alive,life almost to say he                                          
115636,refermez la porte derrière vous sil vous plaît,please close the door behind you,please shut me door the door                                         
115637,referme la porte derrière toi sil te plaît,please close the door behind you,please shut  door                                           
115648,mettezvous à laise,please make yourself comfortable,lets                                              
115652,veuillez mexcuser dêtre venu en retard,please pardon me for coming late,please be home late                                           
115673,rappelezmoi de ne jamais refaire cela,remind me to never do that again,i never do that                                           
115677,lécole commence à huit heures et demie,school begins at half past eight,school begins face and                                           
115714,elle sait très bien jouer du piano,she can play the piano very well,she was to  of piano                                         
115720,elle a pleuré en lisant la carte,she cried as she read the letter,she was to cake child                                          
115731,elle se fiche de comment elle shabille,she doesnt care how she dresses,she understand when trust he                                          
115743,elle me donna une belle paire de chaussures,she gave me a nice pair of shoes,she bought me a cup of                                         
115749,elle fait pousser des tomates dans son jardin,she grows tomatoes in her garden,she was her in  the                                         
115768,elle ma présenté à son frère,she introduced me to her brother,she made me  her                                          
115774,elle adore chanter de vieilles chansons,she is fond of singing old songs,she killed children to play american                                         
115779,elle est pauvre mais elle a lair heureuse,she is poor but she looks happy,she is proud by at was                                         
115793,elle vit dans une demeure plutôt grande,she lives in quite a big mansion,she was a  for                                          
115804,elle a commandé le livre depuis londres,she ordered the book from london,she found the dog walking off baby                                        
115836,elle prend tout pour argent comptant,she takes everything for granted,she made for  to us                                         
115842,elle sest promenée avant le petitdéjeuner,she took a walk before breakfast,she made him the it                                          
115844,elle se détourna et se mit à pleurer,she turned away and began to cry,she and                                             
115851,elle veut une relation sérieuse,she wants a serious relationship,she must a an                                           
115875,elle quittera bientôt lhôpital,she will leave the hospital soon,she made to  me                                          
115887,sa nouvelle robe lui plaît,shes pleased with her new dress,his dog has new of her                                         
115889,elle est deux ans plus jeune que lui,shes two years younger than him,she years younger than  him                                         
115905,vous devriez vous y essayer un de ces jours,someday you should give it a try,you should take my after                                          
115932,le succès dépend principalement de leffort,success depends mostly on effort,the floor went out the arms                                         
115933,soudain il changea de sujet,suddenly he changed the subject,the  before turned about                                          
115936,lété est la saison que je préfère,summer is the season i like best,this is how i  want                                         
115956,ditesmoi pourquoi je ne devrais pas vous renvoyer,tell me why i shouldnt fire you,why you go back                                           
115962,disnous comment résoudre le problème,tell us how to solve the problem,how know how to solve the problem                                        
115983,cela ne mintéresse plus,that doesnt interest me anymore,that matter easy                                            
116026,cest un superbe tableau,thats a very beautiful painting,i am a woman                                           
116029,cette question est très difficile,thats a very difficult question,that easy very                                            
116044,cest la dernière chose que je ferais,thats the last thing i would do,the is the i can i do                                        
116078,la tache de sang ne peut être ôtée,the blood stain cant be removed,i it contented                                            
116122,la nourriture était bonne à sen lécher les doigts,the food was fingerlicking good,the is are to   sauce                                        
116124,le réservoir dessence de la voiture est plein,the fuel tank in the car is full,the bus is out                                           
116128,la fille tremblait de peur,the girl was trembling with fear,the girl is too for                                          
116133,le cheval traversait les champs au galop,the horse ran through the fields,the king went to the                                          
116142,le roi a régné sur lîle,the king reigned over the island,the king is to the to                                         
116158,au moment où il me vit il senfuit en courant,the moment he saw me he ran away,i know the where  he was                                        
116161,le film a été un énorme succès,the movie was a whopping success,the been a                                            
116166,le nouveau film fut un grand succès,the new film was a great success,the movie a  great                                          
116177,le téléphone ne fonctionne pas actuellement,the phone doesnt work right now,the train is right                                           
116181,lavion survola la montagne,the plane flew over the mountain,do you hear the  will                                         
116189,la police a arrêté quelquun,the police have arrested someone,the police set stopped                                           
116208,la rumeur savéra infondée,the rumor turned out to be false,the music is sad                                           
116232,la nappe est dans larmoire,the tablecloth is in the cabinet,the town is out a                                          
116236,la tour fait quinze mètres de haut,the tower is fifteen metres tall,the storm started to                                           
116238,cette ville comporte de nombreux bâtiments de grande taille,the town has many tall buildings,this song is too to                                          
116251,il a fait mauvais temps ce weekend,the weather was bad this weekend,he did for   on weekend                                        
116265,il y a beaucoup dîles en grèce,there are many islands in greece,a  lot                                            
116279,il ny a pas cours en août,there is no school during august,he is almost                                            
116318,ils attendent que vous les aidiez,they are looking to you for help,they are them to  them                                         
116325,ce sont celles qui veulent sy rendre,they are the ones who want to go,the and than say think                                          
116346,ils ont très peu pour vivre,they have very little to live on,they take a very to                                          
116360,elles se précipitèrent vers leur mère,they rushed towards their mother,they arrived their                                            
116389,trente cinq dentre eux étaient avocats,thirtyfour of them were lawyers,just bad anyway my almost                                          
116392,cette plage est dangereuse la nuit,this beach is dangerous at night,this house is worth near                                          
116405,ce bâtiment est bientôt terminé,this building is near completion,the son is a yes                                          
116426,cest tout ce quon sait jusquà maintenant,this is all that is known so far,everything that                                             
116447,ce lait peut se garder deux jours,this milk will keep for two days,this knife happened ten to                                          
116451,ce tableau nest pas encore terminé,this painting isnt complete yet,this going exist yes                                           
116460,ça devrait être clair pour tout le monde,this should be clear to everyone,this could be all the                                          
116508,tom ne peut pas te donner une réponse maintenant,tom cant give you an answer now,tom let you another here drink                                         
116539,tom na rien à manger,tom doesnt have anything to eat,tom must to                                            
116561,tom mange la même nourriture tous les jours,tom eats the same food every day,tom is out at these days                                         
116572,tom se lève tôt le matin,tom gets up early in the morning,i began there up morning                                          
116600,tom a lexpérience nécessaire,tom has the necessary experience,tom got me                                            
116629,tom est en train de rentrer à boston,tom is on his way back to boston,tom goes just to church                                          
116640,tom est lhomme quil faut pour ce travail,tom is the right man for the job,tom must to   for                                         
116684,tom desserra le nœud de sa cravate,tom loosened the knot on his tie,tom kissed to wine                                           
116709,tom a mis un collier antipuces à son chien,tom put a flea collar on his dog,tom took a dog of  seat                                        
116719,tom a dit que mary était magnifique,tom said that mary was beautiful,tom said that mary was                                          
116721,tom a dit quil ne te connaissait pas,tom said that he didnt know you,tom hear to                                            
116736,tom naurait pas dû partir si tôt,tom shouldnt have left so early,tom must to                                            
116786,tom navait pas sa ceinture,tom wasnt wearing his seat belt,tom does his cousin                                           
116824,lunion fait la force,united we stand divided we fall,i did it floor                                           
116835,estce tom qui a apporté ça ,was tom the one who brought this,tom  like a article                                          
116839,nous acceptons toutes les principales cartes de crédit,we accept all major credit cards,we carried their the first                                          
116845,nous devons toujours obéir aux règlements,we always have to obey the rules,we always  to   together                                        
116850,nous arrivâmes à temps au bureau,we arrived at the office on time,we managed to for  the                                         
116853,nous leur achetons beaucoup de choses,we buy a lot of things from them,accomplished be out of                                           
116873,nous nous sommes placées derrière la voiture et avons poussé,we got behind the car and pushed,we all the                                            
116908,nous espérons que ça narrivera plus jamais,we hope this never happens again,we never it                                            
116923,nous nous sommes rencontrés en europe il y a quelques années,we met in europe a few years ago,we walked the a front                                          
116970,nous étions tous présents à la fête,we were all present at the party,we were us all that day                                         
116997,nous sommes des gens comme les autres,were people like everybody else,were tired to for others                                          
117005,nous avons décidé dadopter ton idée,weve decided to adopt your idea,we have any your                                           
117006,nous avons décidé dadopter votre idée,weve decided to adopt your idea,we have any idea                                           
117023,quelles sont les règles de combat ,what are the rules of engagement,how are the truck available                                          
117030,que vastu faire ce soir ,what are you going to do tonight,what doing you do to this                                         
117073,quastu fait de ta voiture ,what have you done with your car,what you  for your                                          
117075,ce dont il a le plus besoin est un bon travail,what he needs most is a good job,lucky is do what a job                                         
117132,quel est le nom de ta pharmacie ,whats the name of your pharmacy,the home is your suitcase                                          
117156,quand vous êtesvous mis à écrire des chansons ,when did you start writing songs,when will you start to songs                                         
117157,quand vous êtesvous mise à écrire des chansons ,when did you start writing songs,when will you start to songs                                         
117159,quand testu mis à écrire des chansons ,when did you start writing songs,when will you start to songs                                         
117173,où astu acheté ces cerises ,where did you buy these cherries,where did you buy for                                          
117195,où étiezvous quand javais besoin de vous ,where were you when i needed you,when do you get to                                          
117200,où est la cravate rouge que je tai achetée ,wheres the red tie i bought you,the is i is                                           
117204,à quelle plage aimestu aller ,which beach do you like to go to,what are do you go to go                                        
117225,qui dautre connaît ton secret ,who else knows about your secret,who is the one secret                                          
117229,qui sait ce qui va arriver ,who knows whats going to happen,who knows was  happen                                          
117237,avec qui aimeriezvous vous entretenir ,who would you like to speak with,who am you to   talk                                        
117254,pourquoi y construistu un mur ,why are you building a wall here,why did you go a look                                         
117272,pourquoi navezvous pas postuler pour le poste ,why didnt you apply for the job,why you apply for                                           
117305,pourquoi nen achètestu pas simplement une nouvelle ,why dont you just buy a new one,why you just a  new                                         
117358,seriezvous davantage contentés si je restais ,would you be happier if i stayed,if often i id i so                                         
117368,aimeraistu quelque chose de plus petit ,would you like something smaller,do you like something smaller                                          
117385,voudriezvous me prendre en photo je vous prie ,would you please take my picture,can you mind some take more please                                        
117394,vous et moi travaillerons ensemble,you and ill be working together,come and  you leave                                          
117405,vous nêtes pas censés nager ici,you arent supposed to swim here,you park right                                            
117427,vous pouvez dire tout ce que vous voulez,you can say whatever you want to,you can what  you                                          
117440,vous ne pouvez en parler à quiconque,you cant tell anyone about this,you can it                                            
117454,vous naviez pas besoin de venir si tôt,you didnt need to come so early,you need to be to so                                         
117467,tu ne sais pas à quel point tu peux être chanceux,you dont know how lucky you are,you know what to just you                                         
117495,tu nas quà regarder ce que je fais,you have only to watch what i do,you look no what you to do                                        
117514,vous me semblez familier estce que je vous connais ,you look familiar do i know you,you may as   you                                         
117542,vous ne devez pas toucher les peintures,you must not touch the paintings,you must to attention up                                          
117544,tu ne dois pas toucher les tableaux,you must not touch the paintings,you must to obey women                                          
117586,vous devriez vous décider par vousmême ,you should make up your own mind,you should stop on the                                          
117589,vous devriez vous préparer au pire,you should prepare for the worst,you should paint the                                           
117610,tu nétais même pas là hier,you werent even there yesterday,you be here yesterday                                           
117614,tu ne le regretteras pas je te le promets ,you wont regret this i promise,you get out truth it                                          
117620,vous allez manquer à vos amis,youll be missed by your friends,come to back your                                           
117623,vous trouverez une solution jen suis sûr,youll find a solution im sure,you a  of ate                                          
117629,vous ne voudrez jamais ce quils veulent,youll never want what they want,you rich what to those are                                         
117658,vous ninterrompez rien du tout,youre not interrupting anything,you know very of                                           
117722,un arbre tombé obstruait la rue,a fallen tree obstructed the road,a tree broke blocked up tree                                         
117734,un arcenciel est un phénomène naturel,a rainbow is a natural phenomenon,a is a  mammal                                          
117762,tous mes enfants vivent à boston,all of my children live in boston,all was all died the boston                                         
117779,y atil la moindre chance que nous soyons approuvées ,any chance of us getting approved,are you tell  i  ate                                        
117807,allezvous travailler jusquà vingtdeux heures ,are you going to work until 1000,did you going to work                                          
117810,estu responsable de cette pagaille ,are you responsible for this mess,this you this for  this                                         
117832,se disputer na jamais conduit qui que ce soit où que ce soit,arguing never got anyone anywhere,did you find anyone  anybody it                                        
117846,les ours hibernent durant lhiver,bears hibernate during the winter,the has have tough                                           
117868,puisje monter ce cheval un moment ,can i ride this horse for a while,just with car  my                                          
117878,estce que tu peux mécouter une minute ,can you listen to me for a minute,do you think me a                                          
117884,pouvezvous me prendre à la gare ,can you pick me up at the station,i you i to station                                          
117887,peuxtu regarder de lautre côté sil te plaît ,can you please look the other way,i feel to smoke                                           
117914,lhorloge devait être remontée chaque jour,clocks used to be wound every day,i  to days at the day                                        
117922,comparez votre traduction à la sienne,compare your translation with his,turn your is your it                                          
117924,le cuivre et largent sont deux métaux,copper and silver are both metals,the suspect is closed of                                          
117946,pourriezvous me dire ce qui est en train de se passer ,could you tell me whats going on,do you know what   is                                        
117997,ne savaistu que jétais de boston,didnt you know i was from boston,you that know he                                           
118002,ne dors pas trop demain matin,do not oversleep tomorrow morning,go that in this morning                                          
118033,doistu faire ça très souvent  ,do you have to do this very often,i makes so that it                                          
118034,devezvous faire ceci très souvent ,do you have to do this very often,do you do this do this                                         
118037,avezvous votre permis de conduire ,do you have your drivers license,is you your                                            
118043,savezvous lire et écrire ,do you know how to read and write,could you read this the                                          
118044,saistu comment attacher tes chaussures,do you know how to tie your shoes,how can your things shoes                                          
118045,savezvous utiliser un ordinateur ,do you know how to use a computer,can i use to a                                          
118046,savezvous comment utiliser un ordinateur ,do you know how to use a computer,how can you get a little cop                                        
118062,cela te dérangeraitil que je baisse le son de la télévision ,do you mind if i turn down the tv,did you know what name                                          
118063,voistu un inconvénient à ce que jéteigne la télé ,do you mind if i turn down the tv,do i mind if i address the thing                                       
118091,pensestu quil appréciera mon cadeau ,do you think he will like my gift,do i like my                                           
118118,estce que tu veux que je tappelle un taxi ,do you want me to call you a taxi,can i want to i be for                                        
118187,noubliez pas dappeler vos parents ,dont forget to call your parents,your                                              
118203,ne commettez pas à nouveau la même erreur,dont make the same mistake again,worry the same                                            
118212,ne dites à personne que nous avons fait cela,dont tell anyone weve done this,tell everything said that                                           
118224,ne crains pas de commettre des erreurs,dont worry about making mistakes,eat out word                                            
118227,ne vous faites pas de souci  je vous couvre,dont worry ive got you covered,worry about without him                                           
118236,ne voulezvous pas savoir pourquoi jai démissionné ,dont you want to know why i quit,you think him he                                           
118261,tout le monde mérite une seconde chance,everyone deserves a second chance,everyone speaks for                                            
118284,je reste à lhôtel pour le moment,for now i will wait at the hotel,at for time                                            
118286,dans quel but estil venu ici ,for what purpose did he come here,what will were born here am                                         
118289,heureusement il faisait beau,fortunately the weather was good,fortunately is at from                                           
118357,il a construit une clôture autour de sa maison,he built a fence around his house,he dropped a new with house                                         
118361,il ne put répondre à cette question,he could not answer that question,he just to answer this question                                         
118380,il na pas suffisamment dexpérience,he doesnt have enough experience,he pretty                                             
118382,il ne semble pas être américain,he doesnt seem to be an american,he be not able no                                          
118387,il but très peu de leau,he drank very little of the water,he was very                                            
118392,il a ressenti une douleur aiguë dans la poitrine,he felt a sharp pain in his chest,he put a    the                                        
118395,il oublia sa promesse de sy rendre,he forgot his promise to go there,he has a and to                                          
118398,il me sourit avec gratitude,he gave me a smile of recognition,he is for  with                                          
118441,il est entré à cette université,he is enrolled at that university,he is almost with                                           
118459,il entraîne un cheval pour une course,he is training a horse for a race,he found a                                            
118480,il sest frayé un passage au milieu de la foule,he made his way through the crowd,he gave a                                            
118482,il sassura que personne ne pouvait la voir,he made sure nobody could see her,he was until to come                                          
118485,il a inventé une histoire au sujet du roi,he made up a story about the king,he lives a  murder the area                                        
118488,il est peutêtre en train de courir autour du parc,he may be jogging around the park,he fell out in  the                                         
118506,cest un virtuose du violoncelle,he plays cello exceptionally well,a   tourist  chalk                                         
118530,il ma montré sa photo en secret,he secretly showed me her picture,he was the by the                                          
118539,il nous montra la photo de sa mère,he showed us his mothers picture,he has to by to his                                         
118540,il parle comme sil était un expert,he speaks as if he were an expert,he was if he  was                                         
118545,il était debout avec les jambes bien écartées,he stood with his feet wide apart,he was punished with                                           
118552,il pense être un grand poète,he thinks that he is a great poet,he wants a he a                                          
118568,il veut étudier la musique et la danse,he wants to study music and dance,he began to rain and                                          
118574,il était en bonne santé lété dernier,he was in good health last summer,he was there month                                           
118600,il est un peu rugueux,hes a bit rough around the edges,he is a terrible person                                          
118623,sa mère est une excellente pianiste,her mother is a wonderful pianist,her husband a                                            
118648,lhistoire se répète à nouveau,history is repeating itself again,the work is for                                           
118661,comment puisje savoir si une fille maime bien ,how can i know if a girl likes me,how did i be a bath                                         
118687,comment vous êtesvous intéressé à lart ,how did you get interested in art,how do you come at school                                         
118688,comment vous êtesvous intéressée à lart ,how did you get interested in art,how do you call at                                          
118694,comment êtesvous devenue si bonne en français ,how did you get so good at french,how did you know to so                                         
118697,comment astu appris son existence ,how did you get to know about her,how did you learn his ring                                         
118710,comment épelezvous votre nom de famille ,how do you spell your family name,how is your family your paper                                         
118724,pendant combien de temps devezvous déjeuner ,how long do you have to eat lunch,what long supposed i to                                          
118739,combien de personnes vivent en australie ,how many people live in australia,how many were i get                                          
118746,combien de fois astu fait ça ,how many times have you done this,how many times do there do it                                        
118791,je me suis posé la même question,i asked myself that same question,i was the same the thing                                         
118799,je crois que cest un authentique picasso,i believe it is a genuine picasso,i think it a dumb                                          
118811,en ouvrant la porte jai cassé la serrure,i broke the lock opening the door,the  worth at the doorstep                                         
118822,je narrive pas à croire que je taie écouté,i cant believe i listened to you,i believe you win                                           
118827,je narrive pas à croire que je vous aie écoutées,i cant believe i listened to you,i believe you to  you                                         
118832,je narrive pas à croire que je vous aie montré ça,i cant believe i showed you that,i believe you kissed you that                                         
118847,je narrive pas à croire que tu sois tombée dans le panneau,i cant believe you fell for that,i believe you some that                                          
118858,je ne peux même pas me souvenir de mon propre nom,i cant even remember my own name,i can to my                                           
118902,jaurais pu vous rencontrer à laéroport,i couldve met you at the airport,i wish to back to school                                         
118903,jaurais pu te rencontrer à laérodrome,i couldve met you at the airport,i wanted i to  school                                         
118907,je nai rien pu entendre de ce que vous avez dit,i couldnt hear anything you said,i care what you said                                          
118934,je naimais pas faire ceci au début,i didnt like doing this at first,i like no to this                                          
118953,je ne pensais pas que tu avais remarqué,i didnt think that youd noticed,i think you were                                           
118998,je ne dispose pas de tant dannées de reste,i dont have that many years left,i take a                                            
119010,je ne connais pas la profondeur de ce lac,i dont know how deep the lake is,i know how of  the                                         
119018,je ne sais si je veux faire cela,i dont know if i want to do that,i know i  able to do that                                       
119041,je ne sais pas ce quest ton problème,i dont know what your problem is,i know what problem                                           
119047,je ne sais pas doù cest venu,i dont know where that came from,i know who you see                                          
119069,je naime pas sortir après la tombée de la nuit,i dont like to go out after dark,i want to out at  night                                        
119102,je ne pense pas que je voudrais faire ça,i dont think id want to do that,i think i could to this                                         
119106,je ne crois pas quil va pleuvoir demain,i dont think itll rain tomorrow,i believe will tomorrow                                           
119122,je ne veux pas être seule avec tom,i dont want to be alone with tom,i want to be with again                                         
119138,je ne veux pas générer de faux espoirs,i dont want to raise false hopes,i want to be up                                          
119155,jai limpression dêtre tout le temps pressée,i feel like im always in a hurry,i was for to                                           
119160,je me sens tellement heureuse lorsque je suis avec vous,i feel so happy when im with you,i feel two without about without you                                        
119205,jai reçu une longue lettre de mes parents,i got a long letter from my folks,i was a parents of my parents                                        
119235,javais espéré quil assisterait à la réunion,i had expected him at the meeting,i id to   the meeting                                        
119269,je viens de rentrer de lécole,i have just come back from school,i just you                                            
119283,je nai aucune idée non plus de qui il sagit,i have no idea who that is either,i like no idea to he no                                        
119298,il y a quelquun que je veux que vous rencontriez,i have someone i want you to meet,i like to you                                           
119307,je dois réparer la machine à laver,i have to fix the washing machine,i have to  the                                          
119316,je nai pas lu tous ces livres,i havent read all of these books,i read the feelings books                                          
119452,je sais que tu as un essai à écrire,i know you have an essay to write,i know you a                                           
119466,jai laissé ma veste dans la salle de classe,i left my jacket in the classroom,i put in on the                                          
119469,j’aime apprendre des langues anciennes,i like learning ancient languages,i like to dream his                                          
119481,jadore vous écouter chanter,i love listening to you guys sing,can you to                                            
119502,jai failli être renversé par un camion aujourdhui,i nearly got hit by a truck today,i  have some a of the                                        
119512,je n’aurais jamais pensé revoir tom,i never thought id see tom again,i never to say again                                          
119525,je moppose à ce quelle y aille seule,i object to her going there alone,i could i can leave                                          
119547,je te promets que je moccuperai de toi,i promise you ill look after you,i promise you                                            
119569,je refuse dêtre ignoré plus longtemps,i refuse to be ignored any longer,i refuse to  longer                                          
119612,jaurais dû deviner que vous seriez occupés,i shouldve guessed youd be busy,you look hot here                                           
119650,je pense que jai attrapé un peu de fièvre,i think ive got a touch of fever,i think a                                            
119670,je pense quil est temps de faire une pause,i think its time to take a break,i think going is to a for                                        
119710,je pense que vous devriez vous reposer un moment,i think you ought to rest a while,i think you were older                                          
119722,je pensais connaître tous vos secrets,i thought i knew all your secrets,i think you to all                                          
119740,je pensais que les questions étaient faciles,i thought the questions were easy,i thought you went gone                                          
119742,je pensais que nous nous étions entendues,i thought we had an understanding,i thought we should                                           
119769,jai essayé de vous appeler mais je nai pas pu,i tried to call you but couldnt,i tried to go to   me                                       
119791,je veux acheter une paire de chaussures de ski,i want to buy a pair of ski boots,i want to a   of                                        
119808,je veux remettre les pendules à lheure,i want to set the record straight,i want to thank to school down                                        
119853,jai été capable de répondre à la question,i was able to answer the question,i was answer whole the question                                         
119864,jallais demander à tom de faire cela,i was going to ask tom to do that,lucky tom ask to  be that                                        
119889,je fus le premier à commencer à mexprimer,i was the first to begin speaking,i was her to the                                          
119904,jallai faire un tour en voiture dans la campagne,i went for a drive in the country,id you take to  the bus                                        
119996,jaimerais que tu toccupes de mon chien,id like you to look after my dog,i like of dog                                           
119997,jaimerais que vous vous occupiez de mon chien,id like you to look after my dog,do you take my of dog                                         
120034,je te présenterai une gentille fille,ill introduce you to a nice girl,ill will you a very                                          
120036,je te ferai savoir lorsque jaurai besoin de toi,ill let you know when i need you,i wish to if  you                                         
120046,je vous reverrai cette aprèsmidi,ill see you again this afternoon,i care the for                                           
120055,je vous dirai exactement quoi dire,ill tell you exactly what to say,i tell anything you  tell                                         
120117,je suis chanceuse de vous avoir comme ami,im lucky to have you as a friend,as  to as                                           
120134,je ne suis pas aussi riche que je le voudrais,im not as rich as id like to be,not only that only i to                                         
120169,je nen suis pas totalement convaincue,im not totally convinced of that,not easily offended                                            
120202,je suis désolée de tappeler au travail,im sorry im calling you at work,sorry on you                                            
120230,je suis certaine que nous ferons mieux demain,im sure well do better tomorrow,glad i come late                                           
120232,je suis sûre que vous aimerez votre nouveau travail,im sure youll like your new job,sure tom back your                                           
120235,je suis étonné quon ne vous ait pas invité,im surprised you werent invited,i  to invited                                           
120262,jai moi aussi pensé à toi,ive been thinking about you too,as  rich as  you                                         
120279,je viens de manger donc je nai pas faim,ive just eaten so im not hungry,i think you just                                           
120309,si seulement je nétais pas resté si longtemps ,if only id hadnt stayed so long,if only i could be long little                                        
120315,si vous nen voulez pas je le mangerai,if you dont want it ill eat it,if i want to can you up                                        
120345,y atil quoi que ce soit dautre que vous aimeriez ,is there anything else youd like,what me know you about                                          
120418,il faisait assez sombre lorsque jatteignis mon domicile,it was quite dark when i got home,it is no to  was it                                        
120431,ça serait triste si cétait vrai,it would be sad if that were true,it would be well if it                                         
120464,cest davantage de problèmes que ça ne vaut,its more trouble than its worth,it more  as   it                                        
120486,karima na pas encore lu la lettre,karima hasnt read the letter yet,lets read of car                                           
120512,laissezmoi aller vous chercher quelque chose à boire,let me get you something to drink,id i something                                            
120514,laissemoi te présenter ma mère,let me introduce my mother to you,i me my introduce my                                          
120553,écoutez je ne veux pas perdre mon poste,look i dont want to lose my job,just want to  my                                          
120561,mary ne peut plus avoir denfants,mary cant have any more children,tom said to                                            
120573,puisje vous demander de fermer la fenêtre ,may i ask you to close the window,may like to turn the door                                         
120575,puisje avoir votre attention sil vous plaît ,may i have your attention please,could i please your  please                                         
