,Spanish text, Expected text,Predicted text
62775,él está harto de mis problemas,he is fed up with my problems,he is application of employees                                          
62809,le gusta viajar a mí también,he likes to travel i do too,he like just like to me                                         
62820,él se mudó al barrio,he moved into my neighborhood,he came off the  king                                         
62870,suele ir al mcdonalds,he usually goes to mcdonalds,hurry to                                             
62875,quiere ser candidato a presidente,he wants to run for president,she wants to be to a america                                        
62912,él va a estar ahí pase lo que pase,hell be there rain or shine,he will to   come                                         
62927,él es orgulloso de ser bueno en las matemáticas,hes proud of his math skills,proud of  to the october                                         
62930,él está parado detrás de la muralla,hes standing behind the wall,he is growing to the                                          
62952,su coche resultó con graves daños,his car was seriously damaged,her new was put to it                                         
62963,su manera de hablar me molesta,his way of speaking annoys me,her french meant to   her                                        
62965,su familia entera es así,his whole family is like that,his family is she  true                                         
62967,su deseo era ir a estados unidos,his wish was to go to america,her  him to  america                                         
62971,¿salimos fuera a almorzar,how about going out for lunch,they living at away                                           
62978,¿cómo encontraste esta chomba,how did you find this sweater,how did i get this your                                         
62981,¿cómo supiste que él no era yo,how did you know he wasnt me,how did you get that were already us                                       
62982,¿cómo sabías que estábamos acá,how did you know we were here,what did i hope here                                          
63013,¿cuánto gana usted a la semana,how much do you earn per week,how long have you getting                                          
63025,los huracanes son tormentas violentas,hurricanes are violent storms,magpies are  is bad                                          
63081,pertenezco al club de natación,i belong to the swimming club,well provided the when  last go                                        
63088,lo compré en una tienda de segunda mano,i bought it in a thrift store,i found tom a  thrift shop                                        
63096,puedo conseguirte uno si quieres,i can get you one if you like,i can give like if   like                                       
63101,ya veo que esto se te da bien,i can see youre good at this,lets get this you well                                          
63105,no soporto ni verlo,i cant bear the sight of him,i get visit with                                           
63129,le cambié la cerradura a mi puerta,i changed the lock on my door,i tom  hand room the room                                        
63155,no seguí mi propio consejo,i didnt follow my own advice,i my   work                                          
63161,no sabía que estaba casada,i didnt know she was married,i know it was married                                          
63167,no sabía que venías,i didnt know you were coming,i know that change                                           
63169,no sabía que tú vendrías también,i didnt know youd come too,i know that have so                                          
63193,no me creo lo que dice tom,i dont believe what tom says,i think  tom says                                          
63199,no espero que lo recordarías,i dont expect youd remember,i hope you achieve happen                                          
63201,no quiero ayudarte,i dont feel like helping you,i want to help you                                          
63227,no sé en qué pensó tom,i dont know what tom thought,i know  tom                                           
63233,no sé por qué vinimos aquí,i dont know why we came here,i know why here                                           
63238,no me gusta cometer errores,i dont like to make mistakes,i like your                                            
63242,no me arrepiento de lo que hice,i dont regret what ive done,i understand what i                                           
63243,no recuerdo haberte invitado,i dont remember inviting you,i know him  understand                                          
63268,no quiero suspender mis exámenes,i dont want to fail my exams,i want to change my room                                         
63278,no quiero vivir de esta manera,i dont want to live this way,i want to word this                                          
63300,como carne tres veces a la semana,i eat meat three times a week,we have be at  the week                                        
63301,borré mi nombre de la lista,i erased my name off the list,my  met my                                           
63313,ayer terminé el trabajo,i finished the work yesterday,i finished at job yesterday                                          
63315,volé de boston a chicago,i flew from boston to chicago,eat to  chicago week                                          
63316,yo estoy totalmente de acuerdo con todos ustedes,i fully agree with all of you,i agree all you                                           
63324,a veces salgo por una cerveza,i go out sometimes for a beer,i will have some a doctor                                         
63349,me echo una siesta casi todos los días,i have a nap almost every day,i feel every kilometers every                                          
63358,tengo todo el derecho de estar aquí,i have every right to be here,i have all money who tom                                         
63372,apenas tengo 5000 yenes,i have only five thousand yen,i have rather yen it                                          
63406,oí que estabas de regreso en el pueblo,i heard you were back in town,i heard you were in  the off                                       
63409,espero no haberte interrumpido,i hope i didnt interrupt you,i think hope to quit                                          
63415,espero verte este viernes,i hope to see you this friday,i hope this                                            
63432,solo quiero tomar una foto,i just want to take a picture,i just want to a favor                                         
63440,sé que hice algo horrible,i know i did a horrible thing,i know something  wrong                                          
63446,sé de lo que hablo,i know what im talking about,i understand anything i did going                                         
63450,sé que lo puedes hacer mejor,i know you can make it better,i know what to can to better                                        
63471,me encanta pasar tiempo contigo,i love spending time with you,i like  to                                           
63480,puede que llegue un par de minutos tarde,i might be a few minutes late,it may be being day  minutes                                        
63500,necesito que me ayudes a encontrarlo,i need you to help me find it,i need you to    me                                       
63515,solo hago lo que me pagan por hacer,i only do what im paid to do,i just tell what  to  that                                       
63528,ayer me topé con tu padre,i ran into your dad yesterday,i followed with your father                                          
63530,ayer leí este artículo,i read this article yesterday,i put this                                            
63548,dije que la haría feliz,i said i would make her happy,i said it to  did                                         
63597,yo pienso que su vida está en peligro,i think his life is in danger,i think this is in name                                         
63609,creo que me debes una disculpa,i think you owe me an apology,i think you have a bath                                         
63631,pensaba que hoy era lunes,i thought it was monday today,i thought tom was there dead                                         
63648,le dije a tom que lo amaba,i told tom i that i loved him,i told tom what to needed                                         
63651,te dije que no se lo dijeras a nadie,i told you not to tell anyone,i told  to  come anyone                                        
63655,participé de la discusión,i took part in the discussion,i eat it your it                                          
63670,quiero que toque la guitarra,i want him to play the guitar,i want you to the  truth                                        
63672,quiero algo caliente para beber,i want something hot to drink,i want something to ask anything                                         
63699,quiero volver a ver la película,i want to see the movie again,i want to go to the                                         
63702,quiero dormir un poquito más,i want to sleep a little more,i want to piece a star                                         
63718,estuve ausente de la reunión,i was absent from the meeting,i was shopping the  friday                                         
63719,quedé atrapado en un embotellamiento,i was caught in a traffic jam,i sat in  the a                                         
63720,tenía la certeza de que vendrías,i was certain that youd come,i had the heart who to blind                                        
63721,estaba horrorizado por lo que vi,i was horrified by what i saw,i was gone than  help did                                        
63728,me dijeron que no podía hacer eso,i was told i couldnt do that,i just that not to do that                                        
63737,fui al aeropuerto en taxi,i went to the airport by taxi,i went to the station on station                                        
63759,no iré mañana a la escuela,i wont go to school tomorrow,i go to school                                           
63780,me gustaría ir algún día al extranjero,id like to go abroad someday,i like to go  to abroad                                        
63783,me gustaría vivir en australia,id like to live in australia,id like to live in australia                                         
63799,mañana compraré lo que necesito,ill buy what i need tomorrow,ill try exactly what to you                                         
63802,vendré tan pronto como sea posible,ill come as soon as possible,ill will as soon  as  possible                                       
63804,te llevaré al aeropuerto,ill drive you to the airport,ill turn you at the                                          
63831,te diré lo que eso significa,ill tell you what that means,ill tell you what that means                                         
63838,soy mucho más grande que tú,im a lot bigger than you are,i am much than  you                                         
63848,les pido que lo reconsideren,im begging you to reconsider,why give you have us                                          
63884,no me avergüenza ser pobre,im not ashamed that im poor,it is like poor                                           
63892,no estoy segura de qué debería hacer,im not sure what i should do,not sure you to                                           
63908,lo lamento el vuelo está lleno,im sorry the flight is full,only  full                                            
63912,estoy seguro de que podemos hacer funcionar esto,im sure we can work this out,all  one to do  this                                        
63917,soy el único que sobrevivió,im the only one who survived,its the  went                                           
63920,estoy cansado ahora me tengo que ir,im tired ive got to go now,proud to    go                                         
63946,lo he hecho un montón de veces,ive done that a lot of times,tried a   of                                          
63963,nunca he probado la comida china,ive never tried chinese food,never changed you changed                                           
63965,te he preparado un aperitivo,ive prepared a snack for you,i have just an                                           
63976,he esperado esto demasiado tiempo,ive waited too long for this,here there time                                            
63981,¡ojalá hubiese seguido tu consejo,if id only taken your advice,if would can your                                           
64008,¿hay alguien en casa,is there anybody in the house,is there back in there house                                         
64026,va a hacer bastante frío,it is going to be rather cool,it is going to                                           
64045,llovió ayer por la tarde,it rained yesterday afternoon,it went home by  yesterday                                         
64059,hacía frío así que prendimos una fogata,it was cold so we lit a fire,we had  having  become in become                                       
64090,nunca es demasiado tarde para decir no,its never too late to say no,its always easy to  say so                                        
64106,japón es un país industrial,japan is an industrial nation,a is a genius country                                          
64107,japón es un país industrializado,japan is an industrial nation,he is a genius small                                          
64109,japón está al este de china,japan is to the east of china,japan is  pay                                           
64139,vayamos a charlar con tom,lets go have a chat with tom,lets go to  tom                                          
64148,sigamos en contacto por email,lets keep in touch by email,ill eat in your                                           
64159,hagamos un viaje a nueva york,lets take a trip to new york,lets take this new minutes                                          
64175,muchos estudiantes han comprado este libro,many students bought the book,many  have many of the                                         
64176,mary no ama a su esposo,mary doesnt love her husband,mary hates like                                            
64186,maría le está hablando a unos extraños,mary is speaking to strangers,mary is  to                                           
64189,a mary le gusta japón ¿o no,mary likes japan doesnt she,mary did to   smoking                                         
64196,mary se recogió el pelo en un moño,mary pulled her hair in a bun,mary turned her white in a abilities                                        
64197,mary se recogía el pelo en un moño,mary pulled her hair in a bun,mary turned wearing flowers in a hair                                        
64208,un mapa vial por favor,may i have a road map please,a   prohibited                                           
64218,muchos de sus amigos son chicas,most of his friends are girls,those are many those are                                          
64227,mi mejor amiga está ahora en roma,my best friend is in rome now,my best friend is in  now                                        
64230,anoche me robaron la bicicleta,my bike was stolen last night,that was my  night                                          
64235,mi hermano va a matarme,my brothers going to kill me,my brother goes to                                           
64236,a mi canario lo mató un gato,my canary was killed by a cat,my cat made a cat                                          
64249,mi padre ha ido a estados unidos,my father has gone to america,my father is to                                           
64252,a mi papá le gusta el café fuerte,my father likes strong coffee,my father sister sugar canada                                          
64267,mi casa está al norte de la ciudad,my house is north of the city,my house is town  wall the                                        
64268,mi casa tiene vista al mar,my house looks toward the sea,my house is a hotel the                                         
64286,mis calificaciones eran promedio,my school grades were average,my arms went over                                           
64293,mi hijo nunca se come las espinacas,my son never eats his spinach,my has sad fear                                           
64296,mi tío tiene una casa en italia,my uncle has a house in italy,my father is a in  our                                        
64297,mi tío nunca escribe cartas,my uncle never writes letters,my mother never believes to                                          
64319,ya nadie usa esa palabra,no one uses that word anymore,no all   word anymore                                         
64340,el petróleo es escaso en este país,oil is scarce in this country,every is  in  the                                         
64346,sólo la paz puede salvar al mundo,only peace can save the world,i should return the  to                                         
64366,ya no se dice eso,people dont say that anymore,he does with to that                                          
64378,por favor ten en cuenta este hecho,please bear this fact in mind,please pay in this                                           
64418,por favor entiende mi posición,please understand my position,please take my                                            
64449,ella se cortó la mano con un cuchillo,she cut her hand with a knife,she killed her into her a                                         
64452,ella no me mandó ninguna carta,she didnt send me any letter,she used to letter to him                                         
64501,ella lo miró con odio,she looked at him with hatred,she often just to                                           
64514,ella me dio una palmada en el hombro,she patted me on the shoulder,she patted me on the                                          
64531,ella le vio comerse un sándwich,she saw him eating a sandwich,she saw him a  egg                                         
64547,ella le dijo que estaba triste,she told him that she was sad,she told him to she was                                         
64563,ella fue siempre muy reservada,she was always very secretive,she was very to                                           
64580,ella vendrá esta noche,she will be here this evening,she will over tonight                                           
64581,ella no cambiará de idea,she would not change her mind,she mind to                                            
64592,es realmente inteligente ¿verdad,shes really smart isnt she,its is                                             
64601,muéstrame lo que tienes en el bolsillo,show me whats in your pocket,do give you have in  the                                        
64611,siéntate derecho en la silla,sit up straight in your chair,put down on out in the                                         
64616,está estrictamente prohibido fumar,smoking is strictly forbidden,smoking is spoken to                                           
64620,algunas personas no pueden cantar en absoluto,some people cant sing at all,some people like not play life                                         
64641,nadar desarrolla nuestros músculos,swimming develops our muscles,i must put the his                                          
64667,díganme cuándo volverá tom,tell me when tom will be back,tell me when tom   back                                        
64714,la pelota voló por el aire,the ball flew through the air,the farmer go on the                                          
64723,el niño le teme a la oscuridad,the boy is afraid of the dark,the boy  is the                                          
64740,los niños tienen palos que brillan,the children have glow sticks,the of were  be                                          
64745,el reloj acaba de dar las diez,the clock has just struck ten,the bus is in ten                                          
64746,la ropa fue teñida de un rojo vivo,the cloth was dyed bright red,the king has cause him                                          
64763,la economía progresaba lentamente,the economy progressed slowly,the is seven speed                                           
64769,la comida se ve muy deliciosa,the food looks very delicious,french food very  well                                          
64783,a los niños les encantará el vídeo,the kids will love this video,the children often to                                           
64792,las hojas están cambiando de color,the leaves are changing color,the leaves in                                            
64806,la película ya comenzó,the movie has already started,the train born just to it                                         
64823,la fiesta fue un gran éxito,the party was a great success,the party was just a success                                         
64829,la laguna se secó el verano pasado,the pond dried up last summer,the old went across the                                          
64839,todavía queda por ver el resultado,the result remains to be seen,an result  to the                                          
64848,los sirvientes trabajaban como hormigas,the servants worked like ants,the plane rang him to fruit                                         
64861,la solución era muy simple,the solution was quite simple,the   good of good                                         
64879,la guerra había durado cuatro años,the war had lasted four years,the boy lasted  years                                          
64903,hay una manzana sobre el pupitre,there is an apple on the desk,there is a window on the                                         
64919,había algunas flores allí,there were some flowers there,there cooked there                                            
64924,hay un gran riesgo implicado,theres a large risk involved,a  burns big                                           
64929,hay una revista en mi habitación,theres a magazine in my room,there hole a in  room                                         
64941,la nevera está vacía,theres nothing in the fridge,clothes is full                                            
64944,estos pájaros se mueven muy rápido,these birds move very quickly,these  over different very interesting                                         
64947,estas galletas tienen forma de estrella,these cookies are starshaped,they soup of to narrow                                          
64956,ellos abandonaron su país,they abandoned their homeland,they kept her country                                           
64963,todos ellos son universitarios,they are all college students,these are wonderful                                            
64978,temen que pueda estar muerto,they fear that he may be dead,maybe may i  be                                          
64989,vivieron felices para siempre,they lived happily ever after,its good forever story to                                          
64990,hicieron una lista con los nombres,they made a list of the names,a son was out his                                          
64998,ellos empezaron al mismo tiempo,they started at the same time,they each the  time                                          
64999,empezaron al mismo tiempo,they started at the same time,people other time                                            
65001,ellos esperaron a su profesor,they waited for their teacher,they drank their glasses                                           
65004,ellos siempre estaban bromeando,they were always making jokes,they has joking                                            
65017,están corriendo sin zapatos,theyre running without shoes,in of  my                                           
65033,este café no está lo suficientemente caliente,this coffee is not hot enough,this coffee is too for present                                         
65053,esto es un asunto sumamente serio,this is a very serious matter,this is a nice  tea                                         
65055,este es un esfuerzo que vale la pena,this is a worthwhile endeavor,this is  heavy who as  is                                       
65056,es una ópera en cinco actos,this is an opera in five acts,its is changing in                                           
65059,así es como conocí a tu madre,this is how i met your mother,how is i just to  name                                        
65066,esta es la vida que yo elegí,this is the life that i chose,this is the to                                           
65071,este trabajo está más allá de mi capacidad,this job is beyond my ability,this house is here good                                          
65073,hay que aclarar este asunto,this matter must be clarified,this is  this                                           
65091,esta sopa está muy salada como para comerla,this soup is too salty to eat,this soup is well useful for                                         
65135,tom y mary ambos trabajan para mí,tom and mary both work for me,tom and mary were just boston                                         
65136,tom y mary no negaron eso,tom and mary didnt deny that,tom and mary not with that                                         
65138,tom y mary se odiaban,tom and mary hated each other,tom and mary are mary                                          
65143,tom llegó el día que maría se fue,tom arrived the day mary left,tom was the  he was                                         
65165,tom llama todas las noches a mary,tom calls mary up every night,tom doubts all                                            
65172,se puede contactar con tom por teléfono,tom can be contacted by phone,tom can tom with  tom                                         
65204,tom no quería que se fuera mary,tom didnt want mary to leave,tom want to   him                                         
65254,tom se olvidó de hacer su tarea,tom forgot to do his homework,tom promised to   his                                         
65255,a tom se le olvidó hacer los deberes,tom forgot to do his homework,tom forgot to wait to the                                         
65275,tom tuvo una larga charla con mary,tom had a long talk with mary,tom had a date with mary                                         
65295,tom ha estado ocupado toda la mañana,tom has been busy all morning,tom has been busy two every morning                                        
65296,tom estuvo llorando toda la noche,tom has been crying all night,tom was taking all night                                          
65300,tom tiene preciosos recuerdos de mary,tom has fond memories of mary,tom has been mary                                           
65315,tom debe ir al hospital,tom has to go to the hospital,tom will to  bed hospital                                         
65345,tom es una persona muy sensible,tom is a very sensible person,tom is a very good                                          
65356,tom es excepcionalmente apuesto,tom is exceptionally handsome,tom is helping sophisticated                                           
65367,tom debería regresar pronto,tom is likely to be back soon,tom should be in                                           
65368,tom se mudará de vuelta con nosotros,tom is moving back in with us,tom will over in boston us                                         
65385,tom está repitiendo lo que dijo,tom is repeating what he said,tom is sick as he                                          
65391,tom es el padre de la novia,tom is the kind of man i like,tom is                                             
65395,tom está intentando aprender francés,tom is trying to learn french,tom is scared french                                           
65400,tom está muy feliz de ver a mary,tom is very happy to see mary,tom is very  to mary                                         
65422,tom dejó a mary sola con john,tom left mary alone with john,tom went mary to john                                          
65433,a mí tom me parece de lo más normal,tom looks pretty normal to me,tom sounds me moving me                                          
65465,tom solo escucha punk rock,tom only listens to punk rock,tom only just only                                           
65466,tom abrió una lata de atún,tom opened a can of tuna fish,tom put a some of                                          
65512,parece que tom ha desaparecido,tom seems to have disappeared,it seems her everything was gone                                         
65525,tom a veces canta en francés,tom sometimes sings in french,tom always living in french                                          
65560,tom quería ver la habitación de mary,tom wanted to see marys room,tom wanted to room the                                          
65569,tom estaba un poco decepcionado,tom was a little disappointed,tom was wearing bit                                           
65601,tom estuvo en boston por una semana,tom went to boston for a week,tom was in a boston  week                                        
65604,tom estará trabajando el lunes,tom will be at work on monday,tom   on monday                                          
65605,finalmente tom se cansará,tom will eventually get tired,shut tom and                                            
65608,tom se ganó un viaje gratis a boston,tom won a free trip to boston,tom took the bet in the                                         
65620,tom no me dejaba ayudar a mary,tom wouldnt let me help mary,tom help to mary                                           
65642,hay dos alumnos ausentes hoy,two students are absent today,two    this                                          
65657,nos desesperábamos con qué ponernos,we agonized over what to wear,we get us to us eat                                         
65660,tenemos una necesidad urgente de agua,we are badly in want of water,we have a snow on the                                         
65671,ni siquiera nos conocemos,we dont even know each other,i am understand you                                           
65679,no queremos presionarte,we dont want to pressure you,we wanna press you                                           
65680,no queremos estudiar francés,we dont want to study french,we want to study                                           
65689,tuvimos un simulacro de incendio ayer,we had a fire drill yesterday,we had a unpleasant last yesterday                                         
65692,tuvimos que aplazar la reunión,we had to put off the meeting,we had to attend the meeting                                         
65693,tenemos un perro blanco y negro,we have a black and white dog,we a  cat and a                                         
65698,hoy tendremos pescado de cena,we have fish for dinner today,ill a some a fun                                          
65713,nos gusta nadar en el océano,we like swimming in the ocean,you give him in the                                          
65715,puede que hiele la semana que viene,we might have frost next week,it may freeze next week                                          
65718,tenemos que cortar nuestros gastos,we must cut down our expenses,we have to the  report                                         
65751,queremos decirles algo,we want to tell you something,we want to be something                                          
65761,le deseamos un agradable vuelo,we wish you a pleasant flight,he accused him a nice stealing                                         
65791,las malas hierbas aparecieron súbitamente en el jardín,weeds sprang up in the garden,the are  out in the                                         
65812,¿qué viste en australia,what did you see in australia,what are you go at australia                                         
65814,¿qué crias en tu granja,what do you grow on your farm,what in your  in your                                         
65842,¿qué instrumento toca tom,what instrument does tom play,what time tom  call                                          
65857,¿qué tipo de alimento comes,what kind of meal did you eat,what language of you did you exactly                                        
65859,¿qué clase de tontería es esa,what kind of nonsense is that,what of the of is that                                         
65872,¿a qué hora te quieres encontrar,what time do you want to meet,when time do you want to stay                                        
65874,¿a qué horas cierra el banco,what time does the bank close,how time the you get on                                         
65879,¿a qué hora empieza la función,what time does the show start,what time does it leave                                          
65880,¿a qué hora abren la tienda,what time does the store open,what time does you office leave                                         
65883,¿a qué hora empezará el juego,what time will the game start,what time did it take                                          
65922,¿dónde agarraste este bus,where did you get on this bus,where does this   go                                         
65924,¿dónde se conocieron,where did you meet each other,where did you grow off                                          
65925,¿dónde pusiste el ketchup,where did you put the ketchup,where did you winter off                                          
65955,¿quién es tu compositor favorito,who is your favorite composer,your favorite writer                                            
65959,¿quién llegará más rápido,wholl get there the quickest,who make fast                                            
65967,¿por qué conduces el coche de tom,why are you driving toms car,why do you take tom                                          
66011,¿por qué querría tom hacer eso,why would tom want to do that,why do tom think tom do                                         
66039,¿quiere que le ayude,would you like me to help you,do you know me to go him                                        
66059,siempre lo destrozas todo,you always destroy everything,everyone will happened everything him                                          
66078,no puedes fumar en esta habitación,you cannot smoke in this room,i live in this                                           
66097,lo podéis hacer si lo intentáis,you guys can do it if you try,you can do that i  it                                        
66175,mejor váyase a casa ya,youd better go back home now,better   to by                                          
66183,es mejor que te lleves un paraguas,youd better take an umbrella,its a                                             
66186,más adelante lo comprenderás,youll understand it later on,take more  right us                                          
66208,no vas a desistir ¿a que no,youre not giving up are you,not   to                                           
66210,estás enfermo debes descansar,youre sick you have to rest,you are you                                            
66226,su bicicleta es mejor que la mía,your bike is better than mine,her bicycle is better than  best                                        
66258,una molécula está formada por átomos,a molecule is made up of atoms,a good is  to give                                         
66269,todos nosotros aprobamos el plan,all of us approved of the plan,everybody of we after  every                                         
66271,todos los estudiantes estudian inglés,all the students study english,all of before all by                                          
66275,una horda enfurecida la gritó,an angry crowd screamed at her,a member penetrated to the                                          
66299,¿estás conforme con tu peso,are you happy with your weight,are you to                                            
66300,¿estás interesado en el budismo,are you interested in buddhism,are you interested in the                                          
66307,¿estás diciendo que soy un mentiroso,are you saying that im a liar,are you thinking you a girl                                         
66318,¿estás seguro de que quieres hacer esto,are you sure you want to do it,are you sure you want to  this                                       
66329,pregúntale cuándo volverá,ask her when he will come back,tell me to  pay                                          
66403,la navidad es el 25 de diciembre,christmas day is december 25th,the is   office the                                         
66410,ven aquí a más tardar a las diez,come here by ten at the latest,come wait  to                                           
66445,alguna vez los dinosaurios dominaban la tierra,dinosaurs once ruled the earth,have you just on  the                                         
66453,¿prevéis problemas,do you anticipate any problems,lets in on                                            
66456,¿crees que dios existe,do you believe that god exists,do you think fat                                           
66465,¿tenés la última versión,do you have the latest version,how the have the                                           
66473,¿sabes conducir,do you know how to drive a car,do you buy to car                                          
66477,¿puedes conducir un auto,do you know how to drive a car,can you make a bag                                          
66503,¿crees que debería ir sola,do you think i should go alone,do you know i should go the                                        
66555,no solo te quejes haz algo,dont just whine do something,we just  to  eat                                         
66562,no apuntes a nadie con tu arma,dont point your gun at anyone,in  at in your subject                                         
66563,no indagues en mi vida privada,dont pry into my private life,please in my                                            
66591,esto lo entiende hasta un niño,even a child can understand it,this looked as  a child                                         
66619,exponga usted su idea con más claridad,explain your idea more clearly,write your word to your back                                         
66627,pocas personas saben del plan,few people know about the plan,they people know dog the                                          
66628,poca gente me visita en estos días,few people visit me these days,do people have few in  day                                        
66644,coge una escoba y ayúdanos a limpiar,grab a broom and help us clean,let a and                                            
66670,acusó al hombre de robo,he accused the man of stealing,i took the  of him                                         
66684,obró de una manera inaudita,he behaved in a strange manner,try yourself a of a                                          
66695,él no puede haber ido a la escuela,he can not have gone to school,he is been to the                                          
66698,él los pilló robando manzanas,he caught them stealing apples,he shook apart of the                                          
66701,él viene aquí cada tres días,he comes here every three days,he class here at day                                          
66721,él ya no me recuerda,he doesnt remember me anymore,he does not  to anymore                                         
66724,él sintió a su corazón latir rápido,he felt his heart beating fast,he felt his gun in his                                         
66743,él tiene muchas ideas originales,he has a lot of original ideas,he has a lot of frame                                         
66766,él está actuando en nombre propio,he is acting on his own behalf,he is italian his those                                          
66772,él es cualquier cosa excepto un caballero,he is anything but a gentleman,he is  than a egg                                         
66777,él es justo el hombre para el trabajo,he is just the man for the job,he is reading  the a job                                        
66784,él falta a clase a menudo,he is often absent from school,he often goes to  english                                         
66810,él sabe cómo hacer llorar a las mujeres,he knows how to make women cry,he knows how to get next die                                        
66814,él sabe cómo tocar el piano,he knows how to play the piano,he knows how to open the                                         
66822,le gusta viajar a mí me gusta también,he likes traveling and so do i,i like just like to me                                         
66823,él vivió en el extranjero por muchos años,he lived abroad for many years,he put off the off a of years ago                                      
66825,él vivió y murió en el anonimato,he lived and died in obscurity,he died in died obscurity in                                         
66829,él la miró directo a los ojos,he looked her right in the eye,he ran off the  heat                                         
66839,él debe haber entrado a esta habitación,he must have entered this room,he must be  on this table                                        
66877,él me dijo que tenías razón,he told me that you were right,he told  to  had busy then                                       
66884,él lo intentó otra vez pero fue en vano,he tried it again but in vain,he died him to he had failed                                        
66919,estaba durmiendo bajo el árbol,he was sleeping under the tree,i was standing a the                                          
66947,él escribió un libro cuando estaba en china,he wrote a book while in china,he wrote the moon when a age                                        
66966,él no es el hombre adecuado para ti,hes not the right man for you,he is a tall for  to                                        
66970,él tiene popularidad con los estudiantes,hes popular with the students,he lives live through the                                          
66979,su hija tiene dolor de estómago,her daughter has a stomachache,her son has out pain                                          
67016,su comportamiento petulante es ofensivo,his smug behavior is offensive,your hobby is  charming                                          
67025,¿cómo interpretas este poema,how do you interpret this poem,how did you plane your written                                         
67031,¿hasta dónde estás preparado para ir,how far are you prepared to go,the show tom you                                           
67041,¿a cuántos museos fuiste,how many museums did you visit,how time your you                                           
67047,¿cuánto es el arriendo mensual,how much is the rent per month,how much is  cost                                          
67067,convengo con usted en ese punto,i agree with you on that point,let with in with  it                                         
67077,soy un estudiante en una universidad,i am a student in a university,a am a   of girl                                        
67079,estoy preocupado por tu salud,i am anxious about your health,making studying those your flight                                          
67092,no llevo ropa interior,i am not wearing any underwear,go to  of                                           
67106,le pregunté sobre el accidente,i asked him about the accident,i just him at the accident                                         
67116,creo que sabes a qué me refiero,i believe you know what i mean,i think we know to  why                                        
67120,hace dos días compré una cámara,i bought a camera two days ago,i was two bed time for time                                        
67144,no puedo vivir esa clase de vida,i cant live that kind of life,i do this fixed for                                          
67176,decidí quedarme un día más,i decided to stay one more day,i tried to more a                                          
67213,ni siquiera tengo tiempo para leer,i dont even have time to read,i have time  to  time                                        
67235,yo tampoco sé qué hacer,i dont know what to do either,i actually tom to you do                                         
67237,no sé cuándo vendrá él,i dont know when he will come,i know when to will back                                         
67251,no me gusta cometer errores,i dont like to make a mistake,i like your                                            
67260,yo no te debo una disculpa,i dont owe you an explanation,i have to a choice                                          
67265,no creo que tom esté escuchando,i dont think tom is listening,i think tom                                            
