,German text, Expected text,Predicted text
124147,entschuldige ich wollte nur behilflich sein,im sorry i just wanted to help,sorry i have to                                  
124171,ich bin der einzige der das kann,im the only one who can do that,the  only  the                                 
124222,ich habe einige fragen an sie,ive got a few questions for you,i some  questions you                                 
124249,ich habe so etwas noch nie gesehen,ive never seen anything like it,never seen that but like                                 
124269,falls tom nach boston geht werde ich das auch tun,if tom goes to boston so will i,this i do  boston                                 
124293,wenn du beschäftigt bist helfe ich dir,if you are busy i will help you,if you forgive if  busy                                
124325,ist irgend etwas mit tom,is something the matter with tom,is tom salad tom                                  
124333,ist hier in der nähe eine tankstelle,is there a gas station near here,is there a pharmacy nearby here                                
124347,stellst du dir das hier unter spaßhaben vor,is this your idea of a good time,does it true that is                                 
124370,es ist interessant fußball zu spielen,it is interesting to play soccer,no really to hard for                                 
124427,das wäre reine zeitverschwendung,it would only be a waste of time,its have time  of                                 
124459,es ist zweifelhaft ob tom das tun kann,its doubtful if tom can do that,its is be is tom that                                
124460,es ist leicht zu machen und darüber hinaus noch günstig,its easy to make and its cheap,its is time way  to                                
124468,das ist nur die spitze des eisbergs,its just the tip of the iceberg,its only  one of                                 
124474,nicht den tod fürchte ich sondern das sterben,its not death i fear but dying,i   that to  dying                               
124491,lassen sie uns ein paar minuten zeit,just give us a couple of minutes,stay have three catch few                                 
124515,geben sie uns bescheid ob sie kommen können,let us know whether you can come,let us know if you can                                
124516,sprechen wir nie mehr davon,let us never speak of this again,we never see you again                                 
124541,lasse uns weitere 5 minuten warten,lets wait for another 5 minutes,can do have both us at                                
124542,lass uns noch fünf weitere minuten warten,lets wait for another 5 minutes,do leave next                                   
124547,in diesem laden wird alkohol nicht verkauft,liquor is not sold at this store,not plan  this in night                                
124566,es waren viele jungen und mädchen anwesend,many boys and girls were present,a  girls and   killed                               
124575,marilyn monroe starb vor 33 jahren,marilyn monroe died 33 years ago,he died  in years                                 
124584,maria hat sich eine gefälschte guccihandtasche gekauft,mary bought a fake gucci handbag,mary bought a  camera                                 
124602,maria bereitete den kindern das frühstück zu,mary made the children breakfast,mary made the kids breakfast                                 
124619,darf ich bitte ihre einladung sehen,may i see your invitation please,may i see your attention                                 
124629,die meisten japaner essen jeden tag reis,most japanese eat rice every day,which takes goes driving every                                 
124641,mein baby hat eine erbkrankheit,my baby has a hereditary disease,my sister has an large                                 
124643,meine beste freundin kommt aus kanada,my best friend comes from canada,my wife is written suffers                                 
124655,schönen gruß von meinem bruder,my brother sends you his regards,my is my brother  my   mine                             
124657,meine kollegen begrüßten mich herzlich,my colleagues warmly welcomed me,my bicycle dropped me to my                                
124665,mein vater hat mir diesen hut gekauft,my father bought this hat for me,my father did me wash this                                
124694,mein haus ist versichert,my house is covered by insurance,my house is hand                                  
124697,mein mann verdient hunderttausend dollar im jahr,my husband earns 100000 a year,the uncle is five last  month                               
124699,meine gelenke schmerzen wenn es kalt wird,my joints ache when it gets cold,my dream happen that night                                 
124736,wohin ich auch gehe verlaufe ich mich,no matter where i go i get lost,where love i                                   
124738,es kommt mich niemand mehr besuchen,no one comes to visit me anymore,no good really to call you                                
124748,gestern ist dort kein student hingegangen,no students went there yesterday,it has a easy                                  
124761,dies hätte alles nicht geschehen dürfen,none of this was meant to happen,it has all for                                  
124763,nicht jeder ist darüber beglückt,not everyone is happy about this,explain that about that this                                 
124778,einer der sträflinge ist entkommen,one of the prisoners has escaped,the apple is  one                                 
124787,machen sie die tür auf und lassen sie den hund rein,open the door and let in the dog,take the chair on the on the                               
124792,au eine biene hat mich gestochen,ouch ive been stung by a bee,a website only me with a                                
124794,unsere französischlehrerin ist kanadierin,our french teacher is a canadian,our english is excellent                                  
124797,unsere firma hat dreißig angestellte,our company has thirty employees,our project has taking shape                                 
124800,unser hund vergräbt knochen im garten,our dog buries bones in the yard,our cat from on the  garden                               
124801,unsere einzige tochter starb an krebs,our only daughter died of cancer,my is teacher out cancer                                 
124854,fahren sie ihren wagen bitte von hier weg,please move your car out of here,could you please this smoke                                 
124857,stellen sie das buch bitte auf das regal,please put the book on the shelf,take the book  on the shelf                               
124888,erinnere dich was letztes jahr passiert ist,remember what happened last year,i heard know that was last                                
124894,traurigerweise starben viele japanische leute,sadly many japanese people died,many people                                    
124918,sie hat mich vor ein paar tagen besucht,she came to see me the other day,she took to see without every week                               
124921,sie kann beides gleichzeitig,she can do both at the same time,we have at the time                                 
124930,sie hat mir mein geld nicht zurückgegeben,she didnt give me back my money,she need my   money                                
124951,sie schenkte mir ein buch zu weihnachten,she gave me a book for christmas,she gave me a new present                                
124985,nächstes jahr wird sie sechs werden,she is going to be six next year,be will  next                                  
124986,sie ist weniger intelligent als du,she is less intelligent than you,she different older than                                  
124990,sie ist nicht so wie du sie dir vorstellst,she is not what you think she is,you is of what know to know                               
125003,sie hat ungefähr fünf jahre dort gelebt,she lived there about five years,she used at  work                                 
125012,sie pflückte im garten blumen,she picked flowers in the garden,she picked flowers a flowers                                 
125042,sie hat die neigung andere schlechtzureden,she tends to speak ill of others,they did found find best they                                
125045,sie ist vor dem frühstück spazieren gegangen,she took a walk before breakfast,she has meat to mountain to the fish                              
125081,sie wird morgen nach tokyo aufbrechen,shes leaving for tokyo tomorrow,be till leaving tomorrow                                  
125082,ihr gefällt ihr neues kleid,shes pleased with her new dress,you like your  shirt                                 
125119,manchmal vergesse ich dass du ein mädchen bist,sometimes i forget youre a girl,i you  a                                  
125155,nehmen sie dieses medikament zwischen den mahlzeiten ein,take this medicine between meals,drive that words good hard                                 
125176,lügen ist eine sehr schlechte angewohnheit,telling lies is a very bad habit,even is a large difficult even                                
125191,danke dass ihr mir bei der reparatur meines wagens geholfen habt,thanks for helping me fix my car,thanks you drop my                                  
125193,die schachtel dort ist größer als diese,that box is bigger than this one,the song is   the this                               
125200,das ist das haus wo er wohnt,that is the house where he lives,this house room where is that                                
125210,sein spitzname passt perfekt zu ihm,that nickname fits him perfectly,his good is to                                  
125226,das war der schönste tag in meinem leben,that was the best day of my life,this book was my   large life                              
125268,das ist es ja was du nicht verstehst,thats what you dont understand,this is you  think                                 
125314,der brückenbau ist im gange,the bridge is under construction,the been is in                                  
125324,die karotten können geerntet werden,the carrots are ready to harvest,the matter is   holiday                                
125328,die katze schläft auf dem tisch,the cat is sleeping on the table,the cat sleeps on the table                                
125330,die katze scheint etwas wasser zu wollen,the cat seems to want some water,the one wants to bring to                                
125340,die uhr ist in der schweiz hergestellt,the clock is made in switzerland,the clock is made in switzerland                                
125344,morgen endet die konferenz,the conference will end tomorrow,the used came in                                  
125376,das mädchen zitterte vor angst,the girl was trembling with fear,the dress looked bad                                  
125377,der wärter öffnete die zellentür,the guard unlocked the cell door,the sun is our rocks                                 
125388,installation abgeschlossen,the installation is now complete,put it on                                   
125390,die arbeit ist noch lange nicht erledigt,the job isnt anywhere near done,the work   on                                 
125397,die damen trugen abendgarderobe,the ladies were in evening dress,the river of made of please                                
125404,das kleine mädchen brach in tränen aus,the little girl burst into tears,a girl appeared into  air                                
125411,der mann wurde als verräter angeprangert,the man was branded as a traitor,the man was  a  sentence                               
125462,der kugelschreiber den ich gestern verlor war neu,the pen i lost yesterday was new,the book was made last                                 
125501,der raum wird von ihm gestrichen,the room is being painted by him,the house is him with him                                
125503,das zimmer war unmöbliert,the room was devoid of furniture,the room was soup                                  
125514,die sängerin hat eine schöne stimme,the singer has a beautiful voice,a apple is a big                                 
125522,je eher sie gehen desto besser,the sooner you leave the better,the sooner the stop leave                                 
125547,die verkehrsampel wurde rot,the traffic light changed to red,the apple was outstanding                                  
125559,die beiden mädchen waren eng befreundet,the two girls were close friends,both two  good                                  
125580,das leben birgt viele geheimnisse,there are many mysteries in life,its is way  old                                 
125595,es besteht keine hoffnung auf seine genesung,there is no hope of his recovery,it is snowed now                                  
125609,es müsste ein gesetz dagegen geben,there should be a law against it,you should  a  little                                
125647,thermometer zeigen häufig unter null grad,thermometers often go below zero,put everything the fire shape                                 
125664,sie möchten dass du ihnen hilfst,they are looking to you for help,do you want to see you                                
125686,sie sind alle miteinander gerne zusammen,they enjoy one anothers company,they ever id each together                                 
125719,man zahlt ihnen kaum den mindestlohn,theyre barely paid minimum wage,she rarely ever necessary their                                 
125738,dieses boot ist nicht mehr seetüchtig,this boat is no longer seaworthy,this radio is a  oil                                
125744,dieses buch könnte dir von nutzen sein,this book could be useful to you,this book is to   you                               
125752,dieses buch ist es wert zweimal gelesen zu werden,this book is worth reading twice,this book is  great                                 
125761,das hier kann nicht sein wonach es aussieht,this cant be what it looks like,this is what who of that to                               
125797,findest du nicht dass das etwas plötzlich kommt,this is kind of sudden isnt it,can you sure tom kind food                                
125800,das ist nur ein vorübergehender rückschlag,this is only a temporary setback,its a  flesh against                                 
125827,dieses medikament ist gut gegen eine erkältung,this medicine is good for a cold,that idea is a good big                                
125831,dieser pilz ist nicht essbar,this mushroom is not good to eat,this food is interesting                                  
125859,diese krawatte passt nicht zu meinem anzug,this tie doesnt go with my suit,those problem is that  idea                                
125864,diese arbeit ist sehr ordentlich ausgeführt,this works very accurately done,this bridge is  out building order                               
125878,tom jackson war nicht sein richtiger name,tom jackson wasnt his real name,tom took his  gun                                 
125894,tom hat am montag schon etwas vor,tom already has plans for monday,tom only something the to mondays                                
125896,tom leiht sich bei mir immer geld,tom always borrows money from me,tom been staring with my money                                
125924,tom und mary sind im publikum,tom and mary are in the audience,tom and mary are in the side                               
125946,tom und maria haben nichts zu essen,tom and mary have nothing to eat,tom and mary have to way                                
125977,tom fragte mary nach ihrem neuen job,tom asked mary about her new job,tom asked mary was staring a                                
125998,tom lieh sich ein auto von einem freund,tom borrowed a car from a friend,tom bought a  new  friend                               
126021,tom kann manchmal unausstehlich sein,tom can be insufferable at times,tom grew be his                                  
126028,tom kann mary nicht erreichen,tom cant get in touch with mary,tom let mary                                   
126046,tom hat sein studium 2013 abgeschlossen,tom completed his degree in 2013,tom led about his  2013                                
126081,tom hatte überhaupt keine ahnung davon,tom didnt know a thing about it,tom had no idea about  that                               
126126,tom ist an seinen verletzungen gestorben,tom died because of his injuries,tom is off his  hero                                
126151,tom weiß nicht was er jetzt tun soll,tom doesnt know what to do next,tom know what he has to                                
126175,tom sieht nicht wie sein vater aus,tom doesnt look like his father,tom looks dating his father                                 
126185,tom schwimmt nicht mehr so viel,tom doesnt swim so much anymore,tom so much                                   
126200,tom will nicht mit ihnen reden,tom doesnt want to speak to you,tom want to talk with you                                
126229,tom fühlte wie sich der zug in bewegung setzte,tom felt the train begin to move,tom lost the  off the                                
126248,tom gab es mir bevor er starb,tom gave it to me before he died,tom gave me his  back                                
126327,tom ist schon lange verheiratet,tom has been married a long time,tom has been long                                  
126341,tom hat sich ein haus in boston gekauft,tom has bought a house in boston,tom bought a ticket in boston                                
126349,tom hat sich entschlossen zu studieren,tom has decided to go to college,tom decided to  be himself                                
126355,tom hat maria sehr viel geld geliehen,tom has lent mary a lot of money,tom is much lot older mary                                
126357,tom hat etwa 14 kilo abgenommen,tom has lost about thirty pounds,tom has lost he 30 pounds                                
126368,tom hat die information die du brauchst,tom has the information you need,tom made that who you know                                
126375,tom muss vor montag damit fertig werden,tom has to do that before monday,tom have to get on it                                
126384,tom hat den ganzen tag noch nichts gegessen,tom hasnt eaten a thing all day,tom ate nothing day                                  
126385,tom hat seine ausbildung noch nicht beendet,tom hasnt finished his training,tom done given his                                  
126405,tom steckte den schlüssel in das schlüsselloch,tom inserted the key in the lock,tom put the  off the pain                               
126433,tom ist geradezu ein bruder mit einem beschützerwahn,tom is an overprotective brother,tom is engaged younger  sister father                               
126452,tom steht finanziellen schwierigkeiten gegenüber,tom is facing financial problems,tom is heavy in a of                                
126487,tom ist ungefähr so alt wie ich,tom is just about as old as i am,tom is almost older  i am                               
126503,tom ist jetzt im urlaub oder,tom is now on vacation isnt he,tom is a is right now                                
126515,tom hat teilweise recht nicht,tom is partially right isnt he,tom turn goodbye secret                                  
126538,tom hat eine heidenangst maria aber nicht,tom is terrified but mary isnt,tom heard an camera but mary                                
126547,tom ist inzwischen damit fertig,tom is through doing that by now,tom is definitely it                                  
126573,tom redet nicht mehr mit mir,tom isnt speaking to me anymore,tom spoken to  me                                 
126590,tom wusste dass maria kein französisch sprach,tom knew mary didnt know french,tom know that mary was french                                
126667,tom liebte das buch das maria ihm gab,tom loved the book mary gave him,tom gave that else that                                 
126741,tom dachte wahrscheinlich dass ich verärgert wäre,tom probably thought i was angry,tom thought that was                                  
126745,tom steckte die hände in die taschen,tom put his hands in his pockets,tom looked the    face                               
126782,tom sagte er fand es nicht lustig,tom said he didnt find it funny,tom said that he had happy                                
126789,tom meinte er sei froh dass er es getan hätte,tom said he was glad he did that,he said he   is                                
126796,tom sagte dass er gut schwimmen könne,tom said that he could swim well,tom said that he had busy                                
126807,tom sagte dass er morgen kommen würde,tom said that hed come tomorrow,tom said he                                   
126837,tom schrie ihnen obszönitäten zu,tom screamed obscenities at them,tom agreed being be agree you                                
126838,tom schrie etwas auf französisch,tom screamed something in french,tom teaches for at french                                 
126852,tom schien sich in meiner gegenwart unwohl zu fühlen,tom seemed uneasy in my presence,tom seemed to be  of himself                               
126876,tom schoss mit einer armbrust auf mary,tom shot at mary with a crossbow,tom put on for                                  
126878,tom hätte nie entlassen werden dürfen,tom should never have been fired,tom never  fired                                  
126899,tom arbeitet zu viel,tom spends too much time working,tom works too much                                  
126905,tom fing an seine taschen zu entleeren,tom started to empty his pockets,tom made his                                   
126929,tom nimmt privaten französischunterricht,tom takes private french lessons,tom is online in things                                 
126952,tom dachte über das nach was maria gesagt hatte,tom thought about what mary said,tom thought mary  did what did                               
126975,tom ging mit seinen kindern in den zoo,tom took his children to the zoo,tom took his the around the                                
126982,tom nahm das geld vom tisch,tom took the money off the table,tom took the table on the table                               
127017,tom geht von der arbeit gewöhnlich zu fuß nach hause,tom usually walks home from work,tom teaches french at every  watch                               
127076,tom kam bei einem autounfall ums leben,tom was killed in a car accident,tom was in  a accident                                
127087,tom war nicht viel älter als maria,tom was not much older than mary,tom a much as  mary                                
127119,tom war willkommen wo immer er auch hinging,tom was welcome wherever he went,tom was even was happy                                 
127133,tom ging zum einkauf in die stadt,tom went downtown to do shopping,tom had himself the                                  
127157,tom wird nicht auf unsere party kommen,tom wont be coming to our party,tom be to at the meeting                                
127186,tom wird nächstes wochenende in boston sein,tomll be in boston next weekend,tom is going at  boston weekend                               
127238,er weigerte sich leider zu kommen,unfortunately he refused to come,he decided to come                                  
127250,wir akzeptieren alle geläufigen kreditkarten,we accept all major credit cards,we met all at mountain we                                
127271,wir können nicht einfach den ganzen tag lang müßiggehen,we cant just do nothing all day,we just talk about day                                 
127279,wir zerteilten die wassermelone und aßen sie,we cut the watermelon and ate it,we told the and  the                                
127312,wir haben noch eine gemeinsamkeit,we have something else in common,we have one an supermarket                                 
127320,wir müssen die verlorene zeit aufholen,we have to make up for lost time,we have to time                                  
127355,wir sollten uns an die verkehrsregeln halten,we should obey the traffic rules,we should have the rules                                 
127357,wir sollten tom etwas kuchen übriglassen,we should save some cake for tom,better should take a little rest                                
127385,wir haben das fußballspiel im fernsehen gesehen,we watched the soccer game on tv,we saw in  the beach                                
127454,was macht ihr an halloween,what are you doing for halloween,what do you write of                                 
127469,was hat tom eigentlich damit gemeint,what did tom really mean by that,what did tom  to                                 
127472,was hast du mit deinem fotoapparat gemacht,what did you do with your camera,what did you change your new suitcase                               
127474,welchen zweck haben die pedale eines klaviers,what do the pedals on a piano do,which of the not jobs up moment                               
127481,was sollte ich eurer meinung nach schreiben,what do you think i should write,what should i have without                                 
127515,was für eine feier wünscht ihr euch,what kind of a party do you want,what kind of book of you                                
127539,welche jahreszeit magst du am liebsten,what season do you like the best,your favorite way you                                  
127541,wann kommst du morgen an,what time do you arrive tomorrow,what time will you tomorrow                                 
127576,was ist dein lieblingsoldie,whats your favorite oldies song,your favorite winter sport                                  
127578,was ist dein beliebtester fußballverein,whats your favorite soccer team,your favorite is yours                                  
127597,wann können wir uns wiedersehen,when can we see each other again,when do we  see                                 
127610,wann haben sie angefangen lieder zu schreiben,when did you start writing songs,when did you get to lunch ago                               
127629,wo hast du das ganze zeug her,where did you get all this stuff,where did you get this letter                                
127656,wo in österreich seid ihr aufgewachsen,where in austria did you grow up,where were you live on                                 
127687,von wem hast du das gerücht gehört,who did you hear that rumor from,when who that all out place                                
127699,wer hat diese maschine erfunden,who was this machine invented by,who that these                                   
127742,warum ist tom nicht selbst hergekommen,why didnt tom come here himself,why not  no an                                 
127745,warum seid ihr nicht ans telefon gegangen,why didnt you answer your phone,why you answer off phone                                 
127753,warum haben sie die zeitschrift nicht gelesen,why didnt you read the magazine,why you read the magazine                                 
127788,warum setzt du dich nicht und entspannst dich,why dont you sit down and relax,why you  and down                                 
127792,warum ziehst du deinen mantel nicht aus,why dont you take off your coat,why you answer off your coat                                
127818,würdest du für mich dieses paket aufgeben,will you mail this parcel for me,will you explain this word this me time                              
127820,öffnest du bitte das fenster,will you open the window please,could you please the window                                 
127822,zeigst du mir was du gekauft hast,will you show me what you bought,excuse you remember you                                  
127850,möchtest du noch mehr kekse,would you like some more cookies,would you want some eat anything                                
127882,du und tom ihr habt viele gemeinsamkeiten,you and tom have a lot in common,you  know you  in  girl                              
127884,du bist genau wie dein vater,you are exactly like your father,what like your like                                  
127907,du kannst dir gar nicht vorstellen wie müde ich bin,you cant imagine how tired i am,you so as  i tired                                
127923,du darfst niemandem davon erzählen,you cant tell anyone about this,you really me this                                  
127926,du hast die kartoffeln zu lange gekocht,you cooked the potatoes too long,you have of up                                  
127964,du musst diese frage beantworten,you have to answer this question,you have to answer this question                                
127966,man muss an etwas glauben,you have to believe in something,you to   find                                 
127967,du musst an etwas glauben,you have to believe in something,you have to find                                  
127990,du weißt doch wie ungern ich koche,you know how much i hate cooking,you have to how i  something                               
128006,du darfst das gern tun wenn du möchtest,you may do that if youd like to,you would use to want                                 
128036,du kannst mich wohl nicht allzu gut leiden was,you really dont like me do you,you tell good busy                                  
128148,es geht dir nicht gut oder,youre not feeling well are you,be good  you                                  
128186,deine idee klingt gut,your idea sounds like a good one,your coat is well                                  
128267,fast alle blätter sind gefallen,almost all the leaves have fallen,all  in                                   
128327,frag tom was der name seiner schwester ist,ask tom what his sisters name is,say is and become  his boss                               
128340,gleich und gleich gesellt sich gern,birds of a feather flock together,if about do you end at tonight  traveled                             
128346,hochbetten bieten eine möglichkeit platz zu sparen,bunk beds are a way to save space,go up is a way                                 
128353,darf ich dir eine persönliche frage stellen,can i ask you a personal question,can i ask a  personal                                
128406,die kriminalitätsrate in kanada sinkt,canadas crime rate is decreasing,the army is during in                                 
128423,kannst du mich bitte heute abend anrufen,could you call me tonight please,will you please me  coffee                                
128449,könnten sie ihre scheinwerfer einschalten,could you turn on your headlights,can you like your mobile                                 
128483,hast du zufällig eine plane dabei,did you happen to bring a blanket,do you have a information on you                               
128526,hast du irgendeine ahnung was das ist,do you have any idea what that is,do you have enough when what that not is                             
128544,musst du heute zur schule,do you have to go to school today,do you going to school                                 
128548,wisst ihr wie gefährlich das ist,do you know how dangerous that is,do you know how that is                                
128550,weißt du wie tief das wasser ist,do you know how deep the water is,do you know who is out                                
128551,kannst du banjo spielen,do you know how to play the banjo,can you play an yen                                 
128570,wisst ihr wann tom zurückkehren wird,do you know when tom will be back,do you know tom  drive go                               
128593,weißt du noch was ich dir beigebracht habe,do you remember what i taught you,do you remember what you                                 
128604,denkst du ich bin glücklich darüber,do you think im happy about this,do you think  about                                 
128610,glaubst du du schaffst das tom,do you think you can do that tom,do you think tom                                  
128619,soll ich die polizei rufen,do you want me to call the police,should i do the some promise                                
128631,wollen wir uns nach der arbeit treffen,do you want to meet up after work,we want to  see the                                
128636,möchtest du dieses programm ansehen,do you want to watch this program,would you want to go this up couch                              
128646,hat sie noch temperatur,does she still have a temperature,did you have in japanese                                 
128698,machen sie mir nicht weis dass sie tom immer noch vertrauen,dont tell me you still trust tom,do you sure tom   again                               
128715,willst du nicht auf die party,dont you want to go to the party,you want to party the  party                               
128768,zum glück habe ich einen grünen daumen,fortunately i have a green thumb,i   a  hobby                                
128796,weißt du was tom und maria sind auseinander,guess what tom and mary broke up,do you and think that in boston for                              
128814,warten sie schon lange,have you been waiting a long time,have a long                                   
128818,hast du schon einmal ein glühwürmchen gesehen,have you ever even seen a firefly,have you ever seen a mule                                
128838,hast du diese geschichte schon gehört,have you heard this story already,did you have this story                                 
128928,er zog den kürzeren,he got the short end of the stick,he applied the short towel                                 
128953,er war dreimal in frankreich,he has visited france three times,he was three in  prison                                
128965,das atmen fällt ihm schwer,he is having difficulty breathing,it is always to                                  
128977,er ist der einzige für den job,he is the only person for the job,the is the best the                                 
128978,er ist der sohn einer reichen familie,he is the son of a wealthy family,he son a  traffic his son                               
128986,er weiß alles über deutschland,he knows everything about germany,he knows about  his                                 
129011,er hat vielleicht den letzten zug verpasst,he may have missed the last train,he missed  train                                  
129086,er war der anführer der bewegung,he was the leader of the movement,he was unaware of the way prize                               
129097,er wird dich dazu beraten,he will advise you on that matter,he will to anywhere it                                 
129100,um sich geld zu verschaffen ist er bereit alles zu tun,he will do anything to make money,smiling is too can to                                 
129116,er macht sich sorgen dass er zu spät kommen könnte,hes afraid that he might be late,he so soon to be                                 
129129,nimm ruhig von den keksen tom,help yourself to the cookies tom,play a little tom                                  
129180,wie bist du nur so gut in französisch geworden,how did you get so good at french,why did you get your so in                               
129192,wie gedenkst du das zu bewerkstelligen,how do you intend to achieve that,how do you possibly to do                                
129197,woher wollen sie wissen dass das toms wagen ist,how do you know this car is toms,how do you know that is                                
129225,wie lange wart ihr heute in der schule,how long were you at school today,how long have you been at today                               
129274,ich beschwere mich beim direktor,i am complaining to the principal,i spoke by  hair                                 
129285,ich helfe dir gern wenn ich kann,i am pleased to help you if i can,i see  how  to you me                              
129318,ich habe meiner frau ein smartphone gekauft,i bought a smartphone for my wife,i bought a friend at my wife                               
129338,ich kann sie am busbahnhof treffen,i can meet you at the bus station,i can give you the dishes                                
129340,ich kann die bergspitze sehen,i can see the top of the mountain,i can take the some                                 
129348,ein so teures buch kann ich nicht kaufen,i cant buy a book this expensive,a                                     
129351,ich kann tom heute nicht zur schule fahren,i cant drive tom to school today,i go to  in                                 
129361,ich kann das nicht heben es ist zu schwer,i cant lift this its too heavy,i find the to rain                                 
129368,ich kann mir das nicht mehr gefallen lassen,i cant put up with it any longer,i give myself that myself                                 
129373,ich kann mich nicht erinnern wem ich es gegeben habe,i cant remember who i gave it to,i know how i came me                                
129375,ich kann jetzt gerade nichts sagen,i cant say anything at this time,i tell possibly to now                                 
129419,ich hatte heute nicht mit dir gerechnet,i didnt expect you to come today,i was no to you                                 
129448,ich wusste nicht was ich tat,i didnt realize what i was doing,i know what i do                                 
129452,ich habe tom keinerlei bilder geschickt,i didnt send any pictures to tom,i had tom to more                                 
129453,ich habe tom nicht verraten dass ich dich kenne,i didnt tell tom that i knew you,i believe tom know you like                                
129458,ich habe nicht verstanden was du gesagt hast,i didnt understand what you said,i understand what did                                  
129459,ich habe nicht verstanden was ihr gesagt habt,i didnt understand what you said,i understand you                                   
129477,es ist mir egal was sie von mir halten,i dont care what you think of me,i care me you  think me                               
129479,ich kenne nicht einmal toms nachnamen,i dont even know toms last name,i know either brother                                  
129491,ich habe nicht das nötige geld dafür,i dont have the money to do that,i have the money to                                 
129495,ich kenne niemanden dieses namens,i dont know anybody by that name,i know anyone that                                  
129507,ich weiß nicht ob ich es ihnen sagen sollte,i dont know if i should tell you,i know if   do                                
129513,ich weiß nicht was tom zugestoßen ist,i dont know what happened to tom,i know what tom is                                 
129531,ich weiß nicht welchen knopf ich drücken muss,i dont know which button to push,i know you to  that pass                               
129538,ich weiß nicht warum tom das macht,i dont know why toms doing that,i know why tom do doing                                
129593,ich will hier nicht mehr wohnen,i dont want to live here anymore,i want to work here                                 
129616,ich fühlte mein herz heftig schlagen,i felt my heart beating violently,i met my apple my                                 
129630,ich fand das problem unkompliziert,i found the problem uncomplicated,i gave that problem                                  
129638,ich habe von einem berühmten sänger ein autogramm bekommen,i got a famous singers autograph,i filled a  new  interest                               
129649,ich bin absolventin der universität kyōto,i graduated from kyoto university,my am clean the                                  
129651,ich nehme an es ist mir früher nie aufgefallen,i guess i never noticed it before,i never get that ever                                 
129661,ich habe mir beim barbier die haare schneiden lassen,i had my hair cut at the barbers,i had my hair  my hair                               
129664,ich hatte mich noch nie so gefürchtet,i had never been so scared before,i never  felt like that time                               
129698,ich habe tom gerade eine sms geschrieben,i have just written an sms to tom,i just  an little                                 
129700,ich habe lange hier gelebt,i have lived here for a long time,i have a long for                                 
129712,ich habe kein geld mehr in meinem portemonnaie,i have no more money in my wallet,i have no without  my money                               
129722,ich habe nichts womit ich eine dose aufmachen kann,i have nothing to open a can with,i have a have to   a                              
129733,ich muss zugeben dass du recht hast,i have to admit that youre right,i must to be right                                 
129734,ich muss diesen motor auseinanderbauen,i have to disassemble this engine,i have to strength by                                 
129736,ich muss den kühlschrank reparieren,i have to repair the refrigerator,i must to my                                  
129779,ich hoffe morgen meine eltern zu sehen,i hope to see my parents tomorrow,i hope my parents to my  tomorrow                              
129793,ich beabsichtige eine woche lang hier zu bleiben,i intend to stay there for a week,i stay for a for a week                               
129831,ich kenne keine der beiden schwestern,i know neither of the two sisters,i know either your sisters                                 
129896,ich muss jetzt zu dieser sitzung gehen,i need to get to this meeting now,i have to go to right                                
129912,ich habe nie gewollt dass all dies geschieht,i never wanted all this to happen,i never that  the this                                
129914,ich bin dagegen dass sie allein dorthin geht,i object to her going there alone,i think doing there                                  
129921,ich sehe nur aus wie tom ich bin nicht tom,i only look like tom im not tom,not  tom                                   
129927,ich drückte meine stirn an seine,i pressed my forehead against his,i house at his behavior                                 
129928,ich werde heute abend wahrscheinlich nicht fernsehen,i probably wont watch tv tonight,i prefer any to touch this                                
129936,ich habe deine koffer auf dein zimmer gestellt,i put your suitcases in your room,i know your tie her                                 
129946,es hat spaß gemacht euch beim tanzen zuzuschauen,i really liked watching you dance,it was have you  for call                               
130009,ich war zwölf stunden in dem zug,i spent twelve hours on the train,i was in at the last                                
130027,ich glaube ich weiß noch wie man das macht,i think i remember how to do that,i think i remember how to do that                              
130051,ich denke wir werden okay sein,i think that were going to be ok,i think were will be  ok                               
130081,ich habe letztens an dich gedacht,i thought about you the other day,i have to for                                  
130085,ich hielt es für eine gute idee,i thought it would be a good idea,i thought that was a good idea                               
130090,deshalb war tom hier dachte ich,i thought thats why tom was here,tom was why i was                                 
130141,tom will französischlehrer werden,i want to become a french teacher,tom wants to become a teacher                                
130158,ich möchte mit dir über tom reden,i want to talk with you about tom,i want to talk to talk tom                               
130168,ich will dass ihr mir helft es sauber zu machen,i want you to help me clean it up,i expect you to permission me naked                               
130174,ich wollte mit tom nach boston,i wanted to go to boston with tom,i wanted to go to go with                               
130195,ich war grade dabei mich zum gehen fertig zu machen,i was just getting ready to leave,i was to  do that                                
130226,ich werde in zwei wochen wiederkommen,i will be back in two weeks time,ill will be in  weeks                                
130256,ich wünschte ich hätte euch um rat gefragt,i wish i had asked you for advice,i wish i had more                                 
130274,ich wünschte sie würden nicht so viel rauchen,i wish you wouldnt smoke so much,i hope we much had much                                
130279,ich werde mich von niemandem herumschubsen lassen,i wont let anyone push me around,i will get out                                  
130304,ich möchte gerne telefonieren,i would like to make a phone call,id like to play complaint                                 
130314,ich würde den für keinen preis verkaufen,i wouldnt sell that at any price,going do to touch on head                                
130361,ich werde euch nächstes jahr treffen können,ill be able to see you next year,i can you  a next                                
130362,ich bin in ein paar stunden wieder da,ill be back in a couple of hours,ill be back a                                  
